species,foragingRate,capture,movementRate,movement,minutes,sociality,gender,dayofseason,flocksizespecies,flocksizeind,indspecies,plot,plotMigrants,plotResidents
Setophaga cerulea,7.058823529,7,38.8235294,91,2.35,Flock,female,29,10,16,2,k,k,
Setophaga cerulea,7,8,26.8965517,105,3.9,Flock,Male,28,,,1,k,k,
Setophaga cerulea,6.976744186,5,13.9534884,10,0.7199,Flock,female  ,28,13,22,4,k,k,
Setophaga cerulea,6.774193548,15,24.1935484,51,2.116666667,Flock,male,6,32,55,3,k,k,
Setophaga cerulea,6.666666667,7,20,33,1.65,Flock,female,27,,,5,k,k,
Setophaga cerulea,6.486486486,3,34.0540541,84,2.466666667,Flock,female,33,5,7,2,k,k,
Setophaga cerulea,6.44295302,2,15.3020134,11,0.7,Flock,female,33,16,26,2,k,k,
Setophaga cerulea,6.206896552,2,30,17,0.566666667,Flock,female,34,15,33,2,k,k,
Setophaga cerulea,6.206896552,2,28.9655172,20,0.7,Flock,female,29,12,19,2,k,k,
Setophaga cerulea,6.206896552,4,26.8965517,39,1.433333333,Flock,female,37,26,37,2,k,k,
Setophaga cerulea,5.874125874,31,21.8181818,37,1.7,Flock,female,25,14,23,3,k,k,
Setophaga cerulea,5.874125874,3,21.8181818,12,0.566666667,Flock,Male,17,27,38,1,k,k,
Setophaga cerulea,5.81,2,7.2727273,6,0.8,Flock,Male,26,11,19,2,k,k,
Setophaga cerulea,5.78313253,60,23.8554217,161,6.733333333,Flock,female,3,4,5,1,k,k,
Setophaga cerulea,5.714285714,69,25.7142857,155,6.016666667,Flock,female,12,10,18,2,k,k,
Setophaga cerulea,5.714285714,3,25.7142857,12,0.483333333,Flock,Male,13,33,53,1,k,k,
Setophaga cerulea,5.7,2,33.75,10,0.283333333,Flock,Male,6,27,43,2,k,k,
Setophaga cerulea,5.7,18,37.1428571,135,3.633333333,Flock,Male,17,18,30,1,k,k,
Setophaga cerulea,5.69,6,12,15,1.216666667,Flock,Male,17,,,,k,k,
Setophaga cerulea,5.294117647,7,26.4705882,84,3.166666667,Flock,female,40,20,29,2,k,k,
Setophaga cerulea,4.95412844,6,29.7247706,40,1.333333333,Flock,female,26,,,1,k,k,
Setophaga cerulea,4.931506849,3,22.1917808,6,0.25,Flock,male,3,27,43,2,k,k,
Setophaga cerulea,4.914675768,0,28.668942,13,0.466666667,Flock,female,37,14,21,2,k,k,
Setophaga cerulea,4.909090909,1,31.0909091,13,0.433333333,Flock,female,55,10,18,2,k,k,
Setophaga cerulea,4.639175258,15,22.5773196,87,3.866666667,Flock,female,28,13,22,1,k,k,
Setophaga cerulea,4.5,5,28.9655172,21,0.716666667,Flock,Female,7,,,5,k,k,
Setophaga cerulea,4.242424242,1,29.0909091,7,0.25,Flock,female,28,32,55,3,k,k,
Setophaga cerulea,4.137931034,9,30.7758621,31,1.016666667,Flock,female,39,32,55,3,k,k,
Setophaga cerulea,4.137931034,1,30.7758621,14,0.45,Flock,Male,30,30,36,2,k,k,
Setophaga cerulea,4,6,4,6,1.5,Flock,female,37,1,1,2,k,k,
Setophaga cerulea,3.75,11,33.75,23,0.683333333,Flock,male,2,8,13,1,k,k,
Setophaga cerulea,3.673469388,6,28.1632653,46,1.6339,Flock,male,13,10,18,5,k,k,
Setophaga cerulea,3.540372671,1,34.8447205,19,0.533333333,Flock,female,79,10,14,2,k,k,
Setophaga cerulea,3.529411765,24,30,146,4.883333333,Flock,male,25,33,53,1,k,k,
Setophaga cerulea,3.5,11,28.1012658,46,1.65,Flock,Male,9,15,29,1,k,k,
Setophaga cerulea,3.428571429,5,30.8571429,30,0.966666667,Flock,female,28,9,12,1,k,k,
Setophaga cerulea,3.428571429,1,21.4285714,6,0.266666667,Flock,female,12,,,1,k,k,
Setophaga cerulea,3.037974684,0,28.1012658,7,0.266666667,Flock,male,39,30,36,2,k,k,
Setophaga cerulea,2.978723404,3,20.4255319,24,1.166666667,Flock,female,34,10,14,2,k,k,
Setophaga cerulea,2.857142857,4,18.5714286,26,1.4,Flock,male,13,14,20,5,k,k,
Setophaga cerulea,2.857142857,9,37.1428571,68,1.833333333,Flock,female,25,36,60,3,k,k,
Setophaga cerulea,2.790697674,14,24.4186047,58,2.383333333,Flock,male,13,10,18,2,k,k,
Setophaga cerulea,2.571428571,4,24,15,0.616666667,Flock,female,5,21,31,2,k,k,
Setophaga cerulea,2.5,2,21.25,17,0.8,Flock,female,31,15,33,8,k,k,
Setophaga cerulea,2.5,3,24.4444444,29,1.2,Flock,Female,6,33,53,7,k,k,
Setophaga cerulea,2.5,2,21.25,12,0.583333333,Flock,Male,23,,,5,k,k,
Setophaga cerulea,2.4,3,14.4,6,0.416666667,Flock,female,5,15,33,2,k,k,
Setophaga cerulea,2.307692308,24,36.9230769,96,2.6,Flock,female,25,8,13,1,k,k,
Setophaga cerulea,2.307692308,15,20,65,3.233333333,Flock,male,3,14,19,1,k,k,
Setophaga cerulea,2.25,7,28.5,29,1.033333333,Flock,female,7,30,36,2,k,k,
Setophaga cerulea,2.222222222,0,24.4444444,11,0.466666667,Flock,female,36,16,23,3,k,k,
Setophaga cerulea,2.210526316,2,28.4210526,30,1.066666667,Flock,female,25,32,55,3,k,k,
Setophaga cerulea,2.142857143,0,32.1428571,13,0.416666667,Flock,female,40,21,30,4,k,k,
Setophaga cerulea,1.875,17,19.6875,44,2.25,Flock,female,36,21,31,2,k,k,
Setophaga cerulea,1.875,1,18.75,25,1.333333333,Flock,male,4,21,30,4,k,k,
Setophaga cerulea,1.764705882,2.999999999,40.5882353,69,1.7,Flock,Male,26,30,36,2,k,k,
Setophaga cerulea,1.764705882,0,40.5882353,60,1.483333333,Flock,female,30,15,25,4,k,k,
Setophaga cerulea,1.216216216,6,17.027027,16,0.966666667,Flock,female,12,15,25,4,k,k,
Setophaga cerulea,0.631578947,21,13.8947368,22,1.6,Flock,male,2,15,21,2,k,k,
Setophaga cerulea,0,1,12,7,0.566666667,Flock,female,25,14,20,1,k,k,
Setophaga cerulea,0,0,15,15,1,Flock,male,32,14,20,2,k,k,
Setophaga cerulea,0,0,28.9655172,29,1,Flock,male,34,1,1,1,k,k,
Setophaga cerulea,0,1,30,36,1.2,Flock,male,34,,,1,k,k,
Setophaga cerulea,0,1,22.9213483,36,1.583333333,Flock,female,34,17,18,1,k,k,
Setophaga cerulea,0,2,7.2727273,33,4.583333333,Flock,female,35,,,,k,k,
Setophaga cerulea,0,0,33.75,16,0.483333333,Flock,male,36,21,23,1,k,k,
Setophaga cerulea,0,0,33.6,22,0.666666667,Flock,female,37,,,1,k,k,
Zimmerius chrysops,8.108108108,10,3.2432432,4,1.233333333,Flock,NA,33,15,25,1,m,,m
Zimmerius chrysops,6,1,2,1,0.333333333,Flock,NA,37,11,17,1,m,,m
Zimmerius chrysops,6,3,6,3,0.5,Flock,NA,24,15,27,2,m,,m
Zimmerius chrysops,6,4,,0,1,Flock,NA,56,11,17,1,m,,m
Zimmerius chrysops,5.142857143,36,4.5714286,32,7,Flock,NA,32,26,37,1,m,,m
Zimmerius chrysops,4.855491329,14,6.5895954,19,2.883333333,Flock,NA,8,13,20,1,m,,m
Zimmerius chrysops,4.615384615,6,7.6923077,10,1.3,Flock,NA,38,13,22,2,m,,m
Zimmerius chrysops,4.285714286,4,4.2857143,4,0.933333333,Flock,NA,11,26,37,4,m,,m
Zimmerius chrysops,4.1,3,5,4,0.733333333,Flock,NA,11,25,36,,m,,m
Zimmerius chrysops,3.846153846,5,11.5384615,15,1.3,Flock,NA,38,13,22,2,m,,m
Zimmerius chrysops,3.7,6,11.5,19,1.633333333,Flock,NA,11,13,22,,m,,m
Zimmerius chrysops,3.63,4,19.1,21,1.116666667,Flock,NA,2,11,20,,m,,m
Zimmerius chrysops,3.6,5,18.5,26,1.4,Flock,NA,4,33,38,,m,,m
Zimmerius chrysops,3.5,3,15,13,0.866666667,Flock,NA,9,28,28,,m,,m
Zimmerius chrysops,3.214285714,3,19.2857143,18,0.933333333,Flock,NA,38,13,22,2,m,,m
Zimmerius chrysops,3.157894737,2,18.9473684,12,0.633333333,Flock,NA,80,13,22,1,m,,m
Zimmerius chrysops,3.1,4,10,13,1.3,Flock,NA,32,22,28,,m,,m
Zimmerius chrysops,3,4,12,16,1.333333333,Flock,NA,12,20,31,,m,,m
Zimmerius chrysops,3,5,12.5,21,1.666666667,Flock,NA,12,11,19,,m,,m
Zimmerius chrysops,2.9,2,7.5,5,0.7,Flock,NA,9,25,35,,m,,m
Zimmerius chrysops,2.748091603,6,7.7862595,17,2.183333333,Flock,NA,28,25,35,1,m,,m
Zimmerius chrysops,2.608695652,3,7.826087,9,1.15,Flock,NA,9,25,35,,m,,m
Zimmerius chrysops,2.6,4,8,12,1.55,Flock,NA,37,22,36,,m,,m
Zimmerius chrysops,2.5,1,5,2,0.4,Flock,NA,56,24,30,1,m,,m
Zimmerius chrysops,2.4,1,9.6,4,0.416666667,Flock,NA,10,10,15,1,m,,m
Zimmerius chrysops,2.307692308,2,8.0769231,7,0.866666667,Flock,NA,32,15,25,1,m,,m
Zimmerius chrysops,2.222222222,1,11.1111111,5,0.45,Flock,NA,11,26,37,4,m,,m
Zimmerius chrysops,2.068965517,1,2.0689655,2,0.966666667,Flock,NA,3,7,8,1,m,,m
Zimmerius chrysops,2.068965517,4,2.0689655,4,1.933333333,Flock,NA,36,7,8,1,m,,m
Zimmerius chrysops,1.764705882,1,7.826087,4,0.566666667,Flock,NA,4,25,35,1,m,,m
Zimmerius chrysops,1.739130435,2,6.4864865,7,1.15,Flock,NA,28,13,22,1,m,,m
Zimmerius chrysops,1.621621622,1,6.4864865,4,0.616666667,Flock,NA,38,13,22,2,m,,m
Zimmerius chrysops,1.512605042,3,16.1344538,32,1.983333333,Flock,NA,87,13,21,1,m,,m
Cardelina canadensis,1,1,24.1237113,24,1,Solitary,Male,9,1,1,,b,b,
Cardelina canadensis,0.8,1,24.1237113,30,1.25,Solitary,Male,12,1,1,,b,b,
Cardelina canadensis,0.78556701,1,24.1237113,31,1.266666667,Solitary,Male,40,1,1,,b,b,
Cardelina canadensis,0.7,1,27.4285714,39,1.433333333,Solitary,Female,57,1,1,,b,b,
Cardelina canadensis,0.680327869,1,47.2131148,70,1.483333333,Solitary,Male,35,1,1,,b,b,
Cardelina canadensis,0.630327869,1,47.2131148,76,1.6,Solitary,Male,34,1,1,,b,b,
Cardelina canadensis,0.618556701,2,24.1237113,78,3.233333333,Solitary,Male,11,1,1,,b,b,
Cardelina canadensis,0.580327869,1,47.2131148,82,1.733333333,Solitary,Male,34,1,1,,b,b,
Cardelina canadensis,0.5,4,27.4576271,223,8.133333333,Solitary,Male,34,1,1,1,b,b,
Cardelina canadensis,0,0,27.4576271,14,0.5,Solitary,Male,11,1,1,1,b,b,
Cardelina canadensis,0,0,14.4,13,0.916666667,Solitary,Male,40,1,1,,b,b,
Cardelina canadensis,0,0,36,10,0.283333333,Solitary,Male,28,1,1,1,b,b,
Cardelina canadensis,0,0,36,71,1.966666667,Solitary,Male,8,1,1,2,b,b,
Cardelina canadensis,0,0,14.4,22,1.533333333,Solitary,Male,8,1,1,,b,b,
Cardelina canadensis,0,0,39.0697674,24,0.616666667,Solitary,Male,5,1,1,1,b,b,
Cardelina canadensis,0,0,39.0697674,11,0.283333333,Solitary,Male,12,1,1,1,b,b,
Cardelina canadensis,0,0,2.6470588,2,0.916666667,Solitary,Male,14,1,1,,b,b,
Cardelina canadensis,0,0,2.6470588,5,1.833333333,Solitary,Male,15,1,1,,b,b,
Cardelina canadensis,0,0,18.4615385,17,0.933333333,Solitary,Male,80,1,1,,b,b,
Cardelina canadensis,0,0,18.4615385,19,1.033333333,Solitary,Male,81,1,1,,b,b,
Cardelina canadensis,0,0,29.6969697,135,4.533333333,Solitary,Female,69,1,1,2,b,b,
Cardelina canadensis,0,0,29.6969697,49,1.666666667,Solitary,Female,11,1,1,,b,b,
Cardelina canadensis,0,0,28.8888889,95,3.3,Solitary,Female,80,1,1,1,b,b,
Cardelina canadensis,0,0,28.8888889,26,0.9,Solitary,Female,80,1,1,1,b,b,
Cardelina canadensis,0,0,27.4285714,39,1.433333333,Solitary,Female,56,1,1,1,b,b,
Cardelina canadensis,0,0,28.8888889,34,1.166666667,Solitary,Female,80,1,1,1,b,b,
Hemithraupis guira,12.5,4,5,2,0.4,Solitary,Female,24,1,1,,d,,d
Hemithraupis guira,11.37931034,11,14.4827586,14,0.966666667,Solitary,Male,10,1,1,3,d,,d
Hemithraupis guira,1.785714286,5,19.2857143,54,2.8,Solitary,Female,26,1,1,2,d,,d
Hemithraupis guira,0,0,39.4117647,67,1.7,Solitary,,53,1,1,2,d,,d
Oreothlypis peregrina,2.76746988,24,29.6385542,293,9.9,Solitary,NA,66,1,1,,f,f,
Oreothlypis peregrina,2.6,6,0,0,2.766666667,Solitary,NA,2,1,1,1,f,f,
Oreothlypis peregrina,2.424242424,2,22.4242424,23,1.016666667,Solitary,NA,5,1,1,2,f,f,
Oreothlypis peregrina,2.3,3,22.4242424,37,1.633333333,Solitary,NA,11,1,1,3,f,f,
Oreothlypis peregrina,2.242424242,2,22.4242424,31,1.366666667,Solitary,NA,1,1,1,2,f,f,
Oreothlypis peregrina,2.168674699,2,29.6385542,61,2.066666667,Solitary,NA,6,1,1,2,f,f,
Oreothlypis peregrina,2.1,0,22.4242424,28,1.233333333,Solitary,NA,3,1,1,2,f,f,
Oreothlypis peregrina,2,0,29.6385542,26,0.866666667,Solitary,NA,11,1,1,,f,f,
Oreothlypis peregrina,1.9,2,29.6385542,32,1.066666667,Solitary,NA,11,1,1,,f,f,
Oreothlypis peregrina,1.5,1,21.9512195,15,0.666666667,Solitary,NA,24,1,1,,f,f,
Oreothlypis peregrina,1.463414634,1,21.9512195,15,0.683333333,Solitary,NA,24,1,1,,f,f,
Oreothlypis peregrina,1.4,2,21.9512195,32,1.45,Solitary,NA,24,1,1,,f,f,
Oreothlypis peregrina,1.341463415,2,21.9512195,23,1.066666667,Solitary,NA,24,1,1,,f,f,
Oreothlypis peregrina,0,0,22.7027027,31,1.366666667,Solitary,NA,3,1,1,2,f,f,
Oreothlypis peregrina,0,0,18.4615385,21,1.133333333,Solitary,NA,11,1,1,,f,f,
Oreothlypis peregrina,0,0,18.4615385,15,0.816666667,Solitary,NA,11,1,1,,f,f,
Oreothlypis peregrina,0,0,18.4615385,35,1.9,Solitary,NA,11,1,1,,f,f,
Oreothlypis peregrina,0,0,18.4615385,25,1.35,Solitary,NA,11,1,1,,f,f,
Oreothlypis peregrina,0,0,22.7027027,34,1.516666667,Solitary,NA,3,1,1,2,f,f,
Oreothlypis peregrina,0,0,22.7027027,21,0.916666667,Solitary,NA,3,1,1,2,f,f,
Parula pitiayumi,3.622641509,3,30,25,0.833333333,Solitary,NA,4,1,1,,h,,h
Parula pitiayumi,3.333333333,3,35.5,32,0.9,Solitary,NA,39,1,1,2,h,,h
Parula pitiayumi,3.306185567,5,36,55,1.516666667,Solitary,NA,3,1,1,,h,,h
Parula pitiayumi,1.714285714,2,15.4285714,18,1.166666667,Solitary,NA,7,1,1,1,h,,h
Parula pitiayumi,1.448979592,2,10,14,1.383333333,Solitary,NA,8,1,1,,h,,h
Parula pitiayumi,1.348979592,1,22,17,0.75,Solitary,NA,55,1,1,,h,,h
Parula pitiayumi,1.224489796,2,20.2040816,33,1.633333333,Solitary,NA,9,1,1,2,h,,h
Parula pitiayumi,1.1,1,15.5,14,0.9,Solitary,NA,8,1,1,,h,,h
Parula pitiayumi,1,1,34.2857143,34,1,Solitary,NA,9,1,1,,h,,h
Parula pitiayumi,1,1,23,23,1,Solitary,NA,28,1,1,,h,,h
Parula pitiayumi,1,2,23,46,2,Solitary,NA,33,1,1,,h,,h
Parula pitiayumi,0.902255639,6,14.7368421,98,6.65,Solitary,NA,85,1,1,1,h,,h
Parula pitiayumi,0.9,2,20,45,2.233333333,Solitary,NA,9,1,1,,h,,h
Parula pitiayumi,0.818181818,6,11.1818182,82,7.333333333,Solitary,NA,85,1,1,1,h,,h
Parula pitiayumi,0.7,1,20.2040816,29,1.433333333,Solitary,NA,33,1,1,,h,,h
Parula pitiayumi,0.64,1,11.1818182,18,1.566666667,Solitary,NA,85,1,1,,h,,h
Parula pitiayumi,0.6,1,20,33,1.666666667,Solitary,NA,85,1,1,,h,,h
Parula pitiayumi,0.5,1,35,70,2,Solitary,NA,3,1,1,,h,,h
Parula pitiayumi,0.5,1,14.7368421,29,2,Solitary,NA,9,1,1,,h,,h
Parula pitiayumi,0.5,1,18.5,37,2,Solitary,NA,54,1,1,,h,,h
Parula pitiayumi,0.394736842,1,10.2631579,26,2.533333333,Solitary,NA,5,1,1,1,h,,h
Parula pitiayumi,0,0,34.2857143,24,0.7,Solitary,NA,27,1,1,1,h,,h
Parula pitiayumi,0,0,24,35,1.45,Solitary,NA,84,1,1,1,h,,h
Parula pitiayumi,0,0,36,40,1.116666667,Solitary,NA,3,1,1,1,h,,h
Parula pitiayumi,0,0,29,27,0.933333333,Solitary,NA,11,1,1,1,h,,h
Parula pitiayumi,0,0,10.2631579,7,0.683333333,Solitary,NA,33,1,1,,h,,h
Parula pitiayumi,0,0,21.7241379,21,0.966666667,Solitary,NA,80,1,1,,h,,h
Parula pitiayumi,0,0,21.7241379,33,1.533333333,Solitary,NA,85,1,1,,h,,h
Sethophaga fusca,4,4,22.24,22,1,Solitary,Male,5,1,1,1,j,j,
Sethophaga fusca,3.428571429,24,27.8571429,195,7,Solitary,Male,80,1,1,1,j,j,
Sethophaga fusca,3.23,4,24.63,31,1.25,Solitary,Male,18,1,1,1,j,j,
Sethophaga fusca,3,1,27.57,9,0.333333333,Solitary,Female,8,1,1,1,j,j,
Sethophaga fusca,2.916666667,7,23.75,57,2.4,Solitary,Female,4,1,1,1,j,j,
Sethophaga fusca,2.666666667,4,18,27,1.5,Solitary,Female,11,1,1,1,j,j,
Sethophaga fusca,2.608695652,7,27.2049689,73,2.683333333,Solitary,Female,30,1,1,1,j,j,
Sethophaga fusca,2.432432432,6,14.5945946,36,2.466666667,Solitary,Male,12,1,1,1,j,j,
Sethophaga fusca,2.12,2,27.71,27,0.966666667,Solitary,Male,8,1,1,1,j,j,
Sethophaga fusca,2.013422819,5,35.4362416,88,2.483333333,Solitary,Male,80,1,1,1,j,j,
Sethophaga fusca,2,4,27.57,55,2,Solitary,Female,8,1,1,1,j,j,
Sethophaga fusca,1.91,2,31.76,29,0.916666667,Solitary,Male,5,1,1,1,j,j,
Sethophaga fusca,1.89,2,23.35,21,0.916666667,Solitary,Male,9,1,1,1,j,j,
Sethophaga fusca,1.714285714,2,23.1428571,27,1.166666667,Solitary,Female,9,1,1,1,j,j,
Sethophaga fusca,1.690140845,2,25.3521127,30,1.183333333,Solitary,Female,9,1,1,1,j,j,
Sethophaga fusca,1.68,1,30.44,19,0.616666667,Solitary,Male,19,1,1,1,j,j,
Sethophaga fusca,1.6,1,27.57,17,0.616666667,Solitary,Female,8,1,1,1,j,j,
Sethophaga fusca,1.43,2,22.71,33,1.433333333,Solitary,Female,8,1,1,1,j,j,
Sethophaga fusca,1.4,1,22.13,15,0.666666667,Solitary,Female,8,1,1,1,j,j,
Sethophaga fusca,1.35,1,27.6,21,0.75,Solitary,Female,33,1,1,1,j,j,
Sethophaga fusca,1.18,1,36.44,22,0.616666667,Solitary,Female,57,1,1,1,j,j,
Sethophaga fusca,1.011235955,6,24.6067416,146,5.933333333,Solitary,Male,32,1,1,1,j,j,
Sethophaga fusca,0.983606557,1,33.442623,34,1.016666667,Solitary,Male,57,1,1,1,j,j,
Sethophaga fusca,0.9375,2,21.5625,46,2.133333333,Solitary,Female,35,1,1,1,j,j,
Sethophaga fusca,0.78,1,21.74,27,1.25,Solitary,Male,31,1,1,1,j,j,
Sethophaga fusca,0.63,1,18.63,29,1.583333333,Solitary,Female,34,1,1,1,j,j,
Sethophaga fusca,0.612244898,1,25.78,32,1.25,Solitary,Female,5,1,1,1,j,j,
Sethophaga fusca,0.61,1,28.78,47,1.633333333,Solitary,Female,5,1,1,1,j,j,
Sethophaga fusca,0,0,24.71,21,0.85,Solitary,Male,6,1,1,1,j,j,
Sethophaga fusca,0,0,21.67,34,1.583333333,Solitary,Female,8,1,1,1,j,j,
Sethophaga fusca,0,0,22.67,17,0.75,Solitary,Female,12,1,1,1,j,j,
Sethophaga fusca,0,0,25.57,31,1.216666667,Solitary,Male,7,1,1,1,j,j,
Setophaga cerulea,4.5,37,30,63,2.1,Solitary,male,1,1,1,3,l,l,
Setophaga cerulea,2.3,0,0,0,0.416666667,Solitary,NA,41,1,1,2,l,l,
Setophaga cerulea,1,0,0,0,1.65,Solitary,NA,21,1,1,1,l,l,
Setophaga cerulea,0.833333333,1,16.6666667,20,1.2,Solitary,female,26,1,1,4,l,l,
Setophaga cerulea,0.436363636,8,17.6727273,24,1.383333333,Solitary,female,17,1,1,1,l,l,
Zimmerius chrysops,4.109589041,5,9.8630137,12,1.216666667,Solitary,NA,3,1,1,,n,,n
Zimmerius chrysops,4,6,9,14,1.5,Solitary,NA,28,1,1,,n,,n
Zimmerius chrysops,2.42,3,9,11,1.25,Solitary,NA,5,1,1,,n,,n
Zimmerius chrysops,2.414860681,13,2.6006192,14,5.383333333,Solitary,NA,3,1,1,,n,,n
Zimmerius chrysops,2.385,3,5,6,1.266666667,Solitary,NA,12,1,1,,n,,n
Zimmerius chrysops,2.333333333,4,6,10,1.716666667,Solitary,NA,3,1,1,,n,,n
Zimmerius chrysops,2.142857143,2,4.7142857,11,2.333333333,Solitary,NA,3,1,1,,n,,n
Zimmerius chrysops,2.142857143,3,4.2857143,6,1.4,Solitary,NA,5,1,1,2,n,,n
Zimmerius chrysops,2.114,2,5,5,0.95,Solitary,NA,24,1,1,,n,,n
Zimmerius chrysops,2.083333333,5,5.4166667,13,2.4,Solitary,NA,3,1,1,,n,,n
Zimmerius chrysops,1.804511278,4,3.1578947,7,2.216666667,Solitary,NA,3,1,1,,n,,n
Zimmerius chrysops,1.35112782,2,7,10,1.483333333,Solitary,NA,33,1,1,,n,,n
Zimmerius chrysops,1,2,16,32,2,Solitary,NA,33,1,1,,n,,n
Zimmerius chrysops,0.927835052,6,1.2371134,8,6.466666667,Solitary,NA,58,1,1,1,n,,n
Zimmerius chrysops,0.905660377,2,5.8867925,13,2.216666667,Solitary,NA,8,1,1,,n,,n
Zimmerius chrysops,0.905660377,4,15,66,4.416666667,Solitary,NA,54,1,1,1,n,,n
Zimmerius chrysops,0.5,1,1.7021277,3,2,Solitary,NA,3,1,1,,n,,n
Zimmerius chrysops,0.5,1,9,18,2,Solitary,NA,5,1,1,,n,,n
Zimmerius chrysops,0.425531915,1,1.7021277,4,2.35,Solitary,NA,4,1,1,,n,,n
Zimmerius chrysops,0,0,3,3,0.966666667,Solitary,NA,3,1,1,,n,,n
Zimmerius chrysops,0,0,1.9354839,2,1.116666667,Solitary,NA,10,1,1,,n,,n
Zimmerius chrysops,0,0,3,3,0.866666667,Solitary,NA,12,1,1,,n,,n
Zimmerius chrysops,0,0,7,2,0.333333333,Solitary,NA,12,1,1,1,n,,n
Zimmerius chrysops,0,0,8,8,1.033333333,Solitary,NA,11,1,1,1,n,,n
Zimmerius chrysops,0,0,11,4,0.333333333,Solitary,NA,4,1,1,,n,,n