station,book_number,pag,year,family,species,nest_number,stage,elevation,date,egg_lenght,egg_width,mass,eggs_number
Pantiacolla,2,75,2010,Thamnophilidae,Isleria_hauxwelli,P04_GVC10,Huevo,421,07-Oct-10,18.3,12.8,1.6,2
Pantiacolla,2,75,2010,Thamnophilidae,Isleria_hauxwelli,P04_GVC10,Huevo,421,07-Oct-10,17.9,12.8,1.55,2
Pantiacolla,3,78,2010,Thamnophilidae,Isleria_hauxwelli,P24_JAEC10,Huevo,427,26-Oct-10,19.4,12.8,1.81,2
Pantiacolla,3,78,2010,Thamnophilidae,Isleria_hauxwelli,P24_JAEC10,Huevo,427,26-Oct-10,19.1,12.6,1.77,2
Pantiacolla,11,126,2012,Thamnophilidae,Isleria_hauxwelli,P03_JMGP12,Huevo,410,26-Sep-12,18.9,13.6,1.65,2
Pantiacolla,11,126,2012,Thamnophilidae,Isleria_hauxwelli,P03_JMGP12,Huevo,410,26-Sep-12,18.7,13.6,1.65,2
Pantiacolla,12,122,2012,Thamnophilidae,Isleria_hauxwelli,P56_MASM12,Huevo,443,09-Oct-12,20.1,13.7,2,2
Pantiacolla,12,122,2012,Thamnophilidae,Isleria_hauxwelli,P56_MASM12,Huevo,443,09-Oct-12,20.5,13.4,2.05,2
Pantiacolla,16,29,2013,Thamnophilidae,Isleria_hauxwelli,P02_AJRC13,Huevo,400,07-Sep-13,17.1,12.7,1.7,3
Pantiacolla,16,29,2013,Thamnophilidae,Isleria_hauxwelli,P02_AJRC13,Huevo,400,07-Sep-13,17.2,12.6,1.7,3
Pantiacolla,17,54,2013,Thamnophilidae,Isleria_hauxwelli,P31_MASM13,Huevo,376,17-Sep-13,17.8,13.7,1.7,2
Pantiacolla,17,54,2013,Thamnophilidae,Isleria_hauxwelli,P31_MASM13,Huevo,376,17-Sep-13,18.8,13.8,1.8,2
Pantiacolla,23,25,2014,Thamnophilidae,Isleria_hauxwelli,P02_IGZ14,Huevo,456,,18.3,13.6,1.78,2
Pantiacolla,23,25,2014,Thamnophilidae,Isleria_hauxwelli,P02_IGZ14,Huevo,456,,17.6,13.2,1.63,2
Pantiacolla,,49,2013,Thamnophilidae,Isleria_hauxwelli,P100_MASM13,Huevo,410,13-Nov-13,17.8,13.7,1.7,2
Pantiacolla,,49,2013,Thamnophilidae,Isleria_hauxwelli,P100_MASM13,Huevo,410,13-Nov-13,18.8,13.8,1.8,2