date,daily_nest_attentiveness,method,true_inc_date,nest_id,note,note 1,,
09-Sep-13,NA,sensor,3,,sensor did not work so we use the one for camera traps that in general is +/- similar to the calsulated with sensors,,,
10-Sep-13,NA,sensor,4,,sensor did not work so we use the one for camera traps that in general is +/- similar to the calsulated with sensors,,,
11-Sep-13,NA,sensor,5,,sensor did not work so we use the one for camera traps that in general is +/- similar to the calsulated with sensors,,,
12-Sep-13,NA,sensor,6,,sensor did not work so we use the one for camera traps that in general is +/- similar to the calsulated with sensors,,,
13-Sep-13,20.41666667,sensor,7,,,used,,
14-Sep-13,49.86111111,sensor,8,,,used,,
15-Sep-13,48.61111111,sensor,9,,,used,,
16-Sep-13,26.38888889,sensor,10,,,used,,
17-Sep-13,62.91666667,sensor,11,,,used,,
18-Sep-13,73.05555556,sensor,12,,,used,,
19-Sep-13,77.77777778,sensor,13,,,used,,
20-Sep-13,53.33333333,sensor,14,,,used,,
21-Sep-13,65.13888889,sensor,15,,,used,,
22-Sep-13,60.55555556,sensor,16,,,used,,
23-Sep-13,58.05555556,sensor,17,,,used,,
24-Sep-13,79.16666667,sensor,18,,,used,,
25-Sep-13,76.25,sensor,19,,,used,,
26-Sep-13,41.38888889,sensor,20,,,used,,
27-Sep-13,NA,sensor,21,,sensor did not work so we use the one for camera traps that in general is +/- similar to the calsulated with sensors,,,#DIV/0!
28-Sep-13,NA,sensor,22,,sensor did not work so we use the one for camera traps that in general is +/- similar to the calsulated with sensors,,,
09-Sep-13,23.03206997,camera,3,,,used,,
10-Sep-13,37.84172662,camera,4,,,used,,
11-Sep-13,38.87283237,camera,5,,,used,,
12-Sep-13,40.01445087,camera,6,,,used,,
13-Sep-13,17.21664275,camera,7,,,,,
14-Sep-13,50.52005944,camera,8,,,,,
15-Sep-13,46.38109306,camera,9,,,,,
16-Sep-13,33.92265193,camera,10,,,,,
17-Sep-13,62.02155913,camera,11,,,,,
18-Sep-13,69.53242836,camera,12,,,,,
19-Sep-13,78.02037846,camera,13,,,,,
20-Sep-13,52.56024096,camera,14,,,,,
21-Sep-13,65.62962963,camera,15,,,,,
22-Sep-13,73.41772152,camera,16,,,,,
23-Sep-13,NA,camera,17,,,,,
24-Sep-13,NA,camera,18,,,,,
25-Sep-13,75.82089552,camera,19,,,,,
26-Sep-13,53.54558611,camera,20,,,,,
27-Sep-13,67.1875,camera,21,,,used,,
28-Sep-13,72.60479042,camera,22,,hatching day,no used,,