station,book_number,pag,year,family,species,nest_number,stage,status,elevation,inner_length_nest,inner_width_nest,tickness,cup_depth,outher_length_nest,outher_width_nest,length,height,mass,mass_layer_1,mass_layer_2,mass_layer_3
Pantiacolla,2,75,2010,Thamnophilidae,Isleria_hauxwelli,P04_GVC10,Huevo,Abandoned,421,45.2,51.3,8.8,37,65.6,68.8,40.3,30,2.7,2.7,,
Pantiacolla,3,78,2010,Thamnophilidae,Isleria_hauxwelli,P24_JAEC10,Huevo,Predated,427,49.7,48.6,15.4,33.8,76.8,70.2,37.7,20,2.28,2.28,,
Pantiacolla,7,3,2011,Thamnophilidae,Isleria_hauxwelli,P02_JMM11,Polluelo,Successful ,386,55,53.3,14.2,39,80.7,66.9,56.7,40,3.11,2.21,0.9,NA
Pantiacolla,11,126,2012,Thamnophilidae,Isleria_hauxwelli,P03_JMGP12,Huevo,Predated,410,58.4,54.2,11,37.4,67.9,72.2,47.4,30,3.3,1.92,0.89,0.45
Pantiacolla,12,122,2012,Thamnophilidae,Isleria_hauxwelli,P56_MASM12,Huevo,Abandoned,443,55.4,54.2,7.8,32.4,61.9,64.1,48.4,20,1.87,0.76,1.12,x
Pantiacolla,16,29,2013,Thamnophilidae,Isleria_hauxwelli,P02_AJRC13,Huevo,Predated,400,54.2,51.9,7.9,45.6,54.1,57,49.7,25,1.75,1.07,0.63,x
Pantiacolla,17,54,2013,Thamnophilidae,Isleria_hauxwelli,P31_MASM13,Huevo,Predated,376,66.9,54.5,13.8,23.7,73,64.3,32.7,35,2.35,1.93,0.47,NA
Pantiacolla,23,25,2014,Thamnophilidae,Isleria_hauxwelli,P02_IGZ14,Polluelo,Successful ,456,54.5,52.8,10,37.1,67.5,64,39.9,30,,,,
Pantiacolla,23,55,2014,Thamnophilidae,Isleria_hauxwelli,P40_JSH14,Polluelo,Predated,420,55.5,58.9,6.7,32.5,70.8,61.8,38.8,40,3.48,,,
Pantiacolla,,49,2013,Thamnophilidae,Isleria_hauxwelli,P100_MASM13,Huevo,Predated,410,54.4,59.4,11.6,36.8,57.6,64,44.9,35,2.38,1.39,0.99,