true_day,date,code_night,code_day,nestlings_stage,brooding_daily_h,sex,brooding_daynight_h,sex_night,brooding_daynight_min
10,11-Sep-14,e,g,3,0,female,12.33333333,f,739.9999998
10,11-Sep-14,f,h,3,0,male,0,m,0
10,11-Sep-14,NA,i,3,0,total_f&m,12.33333333,NA,739.9999998
9,10-Sep-14,e,g,3,0,female,12.43333333,f,745.9999998
9,10-Sep-14,f,h,3,0,male,0,m,0
9,10-Sep-14,NA,i,3,0,total_f&m,12.43333333,NA,745.9999998
8,09-Sep-14,c,d,2,0.583333333,female,12.66666667,f,760.0000002
8,09-Sep-14,d,e,2,0.1,male,0.1,m,6
8,09-Sep-14,NA,f,2,0.683333333,total_f&m,12.76666667,NA,766.0000002
7,08-Sep-14,c,d,2,1.400000002,female,13.56666667,f,814.0000002
7,08-Sep-14,d,e,2,0,male,0,m,0
7,08-Sep-14,NA,f,2,1.400000002,total_f&m,13.56666667,NA,814.0000002
6,07-Sep-14,c,d,2,3.566666668,female,15.63333334,f,938.0000004
6,07-Sep-14,d,e,2,1.25,male,1.25,m,75
6,07-Sep-14,NA,f,2,4.816666668,total_f&m,16.88333334,NA,1013
5,06-Sep-14,c,d,2,3.823333334,female,16.07333333,f,964.3999998
5,06-Sep-14,d,e,2,1.366666667,male,1.366666667,m,82.00000002
5,06-Sep-14,NA,f,2,5.190000001,total_f&m,17.44,NA,1046.4
4,05-Sep-14,a,a,1,6.199166665,female,18.2825,f,1096.95
4,05-Sep-14,b,b,1,3.033333335,male,3.033333335,m,182.0000001
4,05-Sep-14,NA,c,1,9.2325,total_f&m,21.31583333,NA,1278.95
3,04-Sep-14,a,a,1,4.581666667,female,11.39833333,f,683.8999998
3,04-Sep-14,b,b,1,1.95,male,1.95,m,117
3,04-Sep-14,NA,c,1,6.531666667,total_f&m,13.34833333,NA,800.8999998
2,03-Sep-14,a,a,1,4.5,female,4.5,f,270
2,03-Sep-14,b,b,1,3.883333332,male,3.883333332,m,232.9999999
2,03-Sep-14,NA,c,1,8.383333332,total_f&m,8.383333332,NA,502.9999999
1,02-Sep-14,a,a,1,0,female,0,f,0
1,02-Sep-14,b,b,1,2.716666667,male,2.716666667,m,163
1,02-Sep-14,NA,c,1,2.716666667,total_f&m,2.716666667,NA,163